MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Manoj Rajoria,Elected,18-May-14,In office,First,Health and Family Welfare,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,Male,Professional Post Graduate,"B.H.M.S., M.D.(Homoeopathy)",48,242,12,380,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Manoj Sinha,Elected,18-May-14,In office,Third,No,Uttar Pradesh,Ghazipur,Bharatiya Janata Party,Male,Professional Graduate,"B. Tech. (Civil Engg.) 
Educated at U.P. Board, Allahabad and Institute of Technology, Kashi Hindu Vishwavidyalaya, Varanasi (Uttar Pradesh)",58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manoj Tiwari,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Delhi,North East Delhi,Bharatiya Janata Party,Male,Professional Post Graduate,"I.Sc., B.A. (History), B.P.Ed., M.P.Ed.",47,8,0,193,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,54.2,9.5,257,92%
Manshankar Ninama,Elected,18-May-14,In office,First,Rural Development ,Rajasthan,Banswara,Bharatiya Janata Party,Male,Under Matric,Under Matric,58,15,0,229,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Mansukhbhai D. Vasava,Elected,18-May-14,In office,Fifth,Social Justice & Empowerment ,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",60,24,0,178,87%,"This MP was a minister till Jul 2016. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",22.7,0.7,106,80%,14.1,0.5,110,84%
Mausam Noor,Elected,18-May-14,In office,Second,Rural Development ,West Bengal,Maldaha Uttar,Indian National Congress,Female,Professional Graduate,LL.B.; Educated at Calcutta University,38,8,0,197,49%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Md. Salim,Elected,18-May-14,In office,Second,External Affairs,West Bengal,Raiganj,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (Philosophy ) 
Educated at St. Barnabas High School, Maulana Azad College, Calcutta, Jadavpur University and Calcutta University College of Law",60,69,0,64,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Meenakashi Lekhi,Elected,18-May-14,In office,First,"Urban Development and Personnel, Public Grievances, Law and Justice",Delhi,New Delhi,Bharatiya Janata Party,Female,Professional Graduate,"B.Sc. (Hons), LL.B. Educated at Hindu College",50,95,15,365,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,54.2,9.5,257,92%
Mehbooba Mufti,Elected,18-May-14,04/07/2016,Second,No,Jammu and Kashmir,Anantnag,Jammu and Kashmir Peoples Democratic Party,Female,Professional Graduate,"B.A., LL.B.Educated at Kashmir University",58,9,0,26,35%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),35.2,1,136,80%,15.3,0,35,54%
Mekapati Rajamohan Reddy,Elected,18-May-14,In office,Fourth,Railways ,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Professional Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",73,59,0,306,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Mohanbhai Kalyanjibhai Kundariya,Elected,18-May-14,In office,First,Water Resources ,Gujarat,Rajkot,Bharatiya Janata Party,Male,Matric,SSC,66,15,0,156,97%,"This MP was a minister from Nov 2014 to Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",27.8,0.9,124,80%,18.2,0.8,128,84%
Mriganka Mahato,Elected,18-May-14,In office,First,Defence,West Bengal,Purulia,All India Trinamool Congress,Male,Professional Graduate,"M.B.B.S., D.O.",55,5,0,8,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Mukesh Rajput,Elected,18-May-14,In office,First,Agriculture,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,B.Sc.,49,40,0,26,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Mulayam Singh Yadav,Elected,18-May-14,In office,Sixth,Labour ,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",78,40,0,0,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Munisamy Thambidurai,Elected,18-May-14,In office,Fifth,No,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",71,27,0,13,58%,"He was appointed Deputy Speaker in Aug 2014.  As a Deputy Speaker, this MP does not sign the attendance register  His attendance is available till Aug 13, 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",57.9,1.8,242,80%,39.8,0,359,78%
Murali Mohan Maganti,Elected,18-May-14,In office,First,Water Resources ,Andhra Pradesh,Rajahmundry,Telugu Desam Party,Male,Inter/ Higher Secondary,Inter/Higher Secondary,77,52,1,209,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Murli Manohar Joshi,Elected,18-May-14,In office,Sixth,Defence,Uttar Pradesh,Kanpur,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",84,0,0,2,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Muttamsetti Srinivasa Rao (Avanthi),Elected,18-May-14,In office,First,Industry,Andhra Pradesh,Anakapalli,Telugu Desam Party,Male,Inter/ Higher Secondary,Higher Secondary (B.Com.),50,68,0,295,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Muzaffar Hussain Baig,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Jammu and Kashmir,Baramulla,Jammu and Kashmir Peoples Democratic Party,Male,Post Graduate,Masters from Harvard Law School,71,2,0,19,12%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,25.5,0,71,54%
N.K.Premachandran,Elected,18-May-14,In office,Third,Human Resource Development,Kerala,Kollam,Revolutionary Socialist Party,Male,Professional Graduate,"B.Sc, L.L.B",57,251,4,407,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Naba Kumar Sarania (Hira),Elected,18-May-14,In office,First,Labour ,Assam,Kokrajhar,Independent,Male,Inter/ Higher Secondary,Higher Secondary,48,17,0,54,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Nagendra Kumar Pradhan,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Odisha,Sambalpur,Biju Janata Dal,Male,Professional Graduate,B.A. (Hons.) LL.B,65,47,1,531,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Nagendra Pratap Singh Patel,Elected,16-Mar-18,In office,First,No,Uttar Pradesh,Phulpur,Samajwadi Party,Male,Graduate,"B.com, Meerut University UP",49,0,0,0,100%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),0,0,4,80%,0,0,2,87%
Nagendra Singh,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Graduate,B.Com.,75,7,0,0,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Nalin Kumar Kateel,Elected,18-May-14,In office,Second,Agriculture,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",51,42,0,561,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Nanabhau Falgunrao Patole,Elected,18-May-14,14/12/2017,First,"Science & Technology, Environment & Forests",Maharashtra,Bhandara-Gondiya,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,55,89,1,351,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),54.2,1.6,215,80%,53.5,2.9,443,79%
Nandkumar Singh Chouhan (Nandu Bhaiya),Elected,18-May-14,In office,Fifth,Health and Family Welfare,Madhya Pradesh,Khandwa,Bharatiya Janata Party,Male,Graduate,"B.A.
Educated at Seva Sadan Mahavidyalaya, Burhanpur",65,5,0,6,50%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Naramalli Sivaprasad,Elected,18-May-14,In office,Second,Rural Development ,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Professional Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",66,0,0,53,42%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Naranbhai Kachhadia,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",62,109,1,608,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Narendra Keshav Sawaikar,Elected,18-May-14,In office,First,Commerce,Goa,South Goa,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",51,17,1,340,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,17,1,340,88%
Narendra Modi,Elected,18-May-14,In office,First,No,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Narendra Singh Tomar,Elected,18-May-14,In office,Second,No,Madhya Pradesh,Gwalior,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natubhai Gomanbhai Patel,Elected,18-May-14,In office,Second,Home Affairs,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,45,0,0,70,68%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,0,0,70,68%
Neelam Sonkar,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Lalganj,Bharatiya Janata Party,Female,Post Graduate,M.A.,45,48,0,317,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Neiphiu Rio,Elected,18-May-14,22/02/2018,First,Agriculture,Nagaland,Nagaland,Nagaland Peoples Front,Male,Graduate,B.A,67,14,0,20,58%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.5,1.8,231,80%,14.6,0,21,58%
Nepal Singh,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Rampur,Bharatiya Janata Party,Male,Doctorate,"M.Sc., Ph.D.",77,20,0,38,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Nihalchand,Elected,18-May-14,In office,Third,Human Resource Development,Rajasthan,Ganganagar,Bharatiya Janata Party,Male,Graduate,"B.A. 
Educated at Rai Singh Nagar (Ajmer University)",47,20,0,100,93%,"This MP was a minister till Jul 2016. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",22.7,0.7,106,80%,37.5,1.2,123,88%
Ninong Ering,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",59,48,5,274,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,48,5,274,72%
Niranjan Jyoti,Elected,18-May-14,In office,First,No,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,Female,Inter/ Higher Secondary,Intermediate,51,18,0,1,100%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,5.6,0.1,8,87%
Nishikant Dubey,Elected,18-May-14,In office,Second,Finance,Jharkhand,Godda,Bharatiya Janata Party,Male,Professional Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",49,277,36,562,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Nitin Jairam Gadkari,Elected,18-May-14,In office,First,No,Maharashtra,Nagpur,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B. and Diploma in Business Management",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nityanand Rai,Elected,18-May-14,In office,First,Agriculture,Bihar,Ujiarpur,Bharatiya Janata Party,Male,Graduate,B.A. (Hons),52,6,0,141,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Om Birla,Elected,18-May-14,In office,First,Energy,Rajasthan,Kota,Bharatiya Janata Party,Male,Post Graduate,M.Com,55,144,5,585,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Om Prakash Yadav,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Bihar,Siwan,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",55,32,21,342,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
P. C. Mohan,Elected,18-May-14,In office,Second,Urban Development,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,54,21,0,268,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
P. K. Biju,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",43,258,0,490,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
P. Karunakaran,Elected,18-May-14,In office,Third,Information Technology,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",72,174,13,291,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
P. Kumar,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",46,36,0,419,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
P. Nagarajan,Elected,18-May-14,In office,First,Home Affairs,Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",56,26,0,490,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
P. Radhakrishnan,Elected,18-May-14,In office,Second,No,Tamil Nadu,Kanniyakumari,Bharatiya Janata Party,Male,Professional Graduate,"B.A., B.L.; Educated at D.V.D.H. School, Nagercoil, V.H.N.S.N. College, Virudhu Nagar and Madras Law College, Chennai (Tamil Nadu)",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P. Venugopal,Elected,18-May-14,In office,Second,Rural Development ,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",65,62,0,556,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
P.C. Gaddigoudar,Elected,18-May-14,In office,Third,Finance,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",66,8,0,94,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
P.K. Kunhalikutty,Elected,17-Apr-17,In office,First,Railways ,Kerala,Malappuram,Indian Union Muslim League,Male,Diploma Course,"B.com., Diploma in Business Management, Educated at Aligarh Muslim University",66,4,0,30,54%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),6.9,0.3,43,80%,16.1,0.5,58,78%
P.K. Sreemathi Teacher,Elected,18-May-14,In office,First,Human Resource Development,Kerala,Kannur,Communist Party of India (Marxist),Female,others,Pre-Degree,68,136,0,431,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
P.P. Chaudhary,Elected,18-May-14,In office,First,No,Rajasthan,Pali,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., L.L.B, studied at Jai Narayan Vyas University, Jodhpur (Rajasthan)",64,359,18,394,98%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,87.4,2.4,207,88%
P.P. Mohammed Faizal,Elected,18-May-14,In office,First,Home Affairs,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Professional Post Graduate,M.B.A.,42,44,0,327,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,44,0,327,80%
P.R. Senthilnathan,Elected,18-May-14,In office,First,External Affairs,Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., LL.B",50,42,0,407,71%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
P.R. Sundaram,Elected,18-May-14,In office,First,Human Resource Development,Tamil Nadu,Namakkal,All India Anna Dravida Munnetra Kazhagam,Male,Under Graduate,Under Graduate,66,80,0,561,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
P.V. Midhun Reddy,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,MBA,40,19,0,169,51%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Pandula Ravindra Babu,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Andhra Pradesh,Amalapuram,Telugu Desam Party,Male,Professional Graduate,M.B.B.S.,62,58,1,133,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Pankaj Chowdhary,Elected,18-May-14,In office,Fifth,"Chemicals & Fertilizers and Science & Technology, Environment & Forests",Uttar Pradesh,Maharajganj,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh)",53,25,2,284,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Paresh Rawal,Elected,18-May-14,In office,First,Information Technology,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Graduate,B.Com.,62,7,0,164,65%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Partha Pratim Ray,Elected,25-Nov-16,In office,First,Defence,West Bengal,Cooch Behar,All India Trinamool Congress,Male,Post Graduate,"M.A. in English, B.ed from University of North Bengal Raja Rammohanpur Silguri, Darjeeling",36,4,0,18,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),15.8,0.6,81,80%,8.8,0.1,28,65%
Parvesh Sahib Singh Verma,Elected,18-May-14,In office,First,Urban Development,Delhi,West Delhi,Bharatiya Janata Party,Male,Professional Post Graduate,M.B.A.,40,14,3,144,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,54.2,9.5,257,92%
Pashupati Nath Singh,Elected,18-May-14,In office,Second,Coal & Steel,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,68,41,0,158,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Pinaki Misra,Elected,18-May-14,In office,Third,Urban Development,Odisha,Puri,Biju Janata Dal,Male,Professional Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",58,9,0,273,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Ponguleti Srinivasa Reddy,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Telangana,Khammam,Yuvajana Sramika Rythu Congress Party,Male,Graduate,Graduate,52,32,0,360,66%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Poonam Mahajan Alias Poonam Vajendla Rao,Elected,18-May-14,In office,First,No,Maharashtra,Mumbai-North-Central,Bharatiya Janata Party,Female,Graduate,"Graduate, Diploma Course",37,27,5,365,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Poonamben Hematbhai Maadam,Elected,18-May-14,In office,First,Industry,Gujarat,Jamnagar,Bharatiya Janata Party,Female,Graduate,Graduate,43,30,0,272,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Prabhas Kumar Singh,Elected,18-May-14,In office,First,Human Resource Development,Odisha,Bargarh,Biju Janata Dal,Male,Doctorate,"M.A., Ph.D.",53,51,0,110,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",76,3,0,6,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
